PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,TOPIC,HKG,CHN,RUS,MYANMAR,INDIA,OTHER,bias_score,calculated_bias
commission,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,1.82e-12,0,0.0,0.0,,,,,,,,,Neutral
communist,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,4.53e-13,1,0.0,0.0,,,,,,,,,Neutral
community,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,4.46e-13,0,0.0,0.0,,,,,,,,,Neutral
companies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,5.66e-12,0,0.0,0.0,,,,,,,,,Neutral
companies that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,3.81e-13,0,0.0,0.0,,,,,,,,,Neutral
company,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,1.89e-12,0,0.0,0.0,,,,,,,,,Neutral
complicate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,2.77e-13,0,0.0,0.0,,,,,,,,,Neutral
complicity,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,2.22e-13,0,0.0,0.0,,,,,,,,,Neutral
complicity in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,2.54e-13,0,0.0,0.0,,,,,,,,,Neutral
confirm,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,6.74e-13,0,0.0,0.0,,,,,,,,,Neutral
conflict,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,2.65e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
consulate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573,2.04e-13,0,0.0,0.0,,,,,,,,,Neutral
continued,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,2.43e-13,0,0.0,0.0,,,,,,,,,Neutral
contractor,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,2.5e-13,0,0.0,0.0,,,,,,,,,Neutral
contributed to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,1.89e-13,0,0.0,0.0,,,,,,,,,Neutral
contributed to this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,2.83e-13,0,0.0,0.0,,,,,,,,,Neutral
control,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,2.89e-13,0,0.0,0.0,,,,,,,,,Neutral
conversations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
convicted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,2.4e-13,0,0.0,0.0,,,,,,,,,Neutral
corporate,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
corruption,1685.0,251.0,6.0,5.0,29.0,3.0,6.0,20.0,55.0,8.0,4.0,19.0,11.0,74.0,68.0,13.0,74.0,98.0,6.0,13.0,26.0,35.0,12.0,6.0,61.0,9.0,182.0,2.0,10.0,18.0,23.0,16.0,48.0,16.0,45.0,11.0,38.0,17.0,32.0,8.0,4.0,3.0,9.0,7.0,3.0,12.0,4.0,6.0,7.0,3.0,9.0,15.0,15.0,5.0,21.0,175.0,1.0,27,4.44e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-521.0,Left
could,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,1.37e-12,0,0.0,0.0,,,,,,,,,Neutral
council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,1.85e-13,0,0.0,0.0,,,,,,,,,Neutral
countries,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,8.57e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
country,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,1.64e-12,0,0.0,0.0,,,,,,,,,Neutral
country that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981,1.87e-13,0,0.0,0.0,,,,,,,,,Neutral
country two systems,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,2.01e-13,0,0.0,0.0,,,,,,,,,Neutral
coup,1723.0,153.0,9.0,5.0,12.0,1.0,4.0,32.0,30.0,0.0,4.0,98.0,2.0,59.0,142.0,62.0,45.0,136.0,2.0,1.0,7.0,33.0,5.0,6.0,36.0,130.0,141.0,0.0,1.0,8.0,59.0,12.0,114.0,9.0,9.0,14.0,18.0,1.0,10.0,19.0,1.0,10.0,13.0,0.0,6.0,27.0,2.0,2.0,7.0,0.0,33.0,15.0,1.0,5.0,29.0,123.0,0.0,4,7.07e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-642.0,Left
court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,3.47e-12,0,0.0,0.0,,,,,,,,,Neutral
courts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,2.41e-13,0,0.0,0.0,,,,,,,,,Neutral
crackdown,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,8.86e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
crackdown on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947,2.22e-13,0,0.0,0.0,,,,,,,,,Neutral
created,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,6.29e-13,0,0.0,0.0,,,,,,,,,Neutral
created by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,7.24e-13,0,0.0,0.0,,,,,,,,,Neutral
created on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,3.82e-13,0,0.0,0.0,,,,,,,,,Neutral
crimes,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,1.7e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
crisis,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,3.79e-13,0,0.0,0.0,,,,,,,,,Neutral
critics,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,2.06e-13,0,0.0,0.0,,,,,,,,,Neutral
current,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,2.4e-13,0,0.0,0.0,,,,,,,,,Neutral
data,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,7.7e-13,0,0.0,0.0,,,,,,,,,Neutral
deadline,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,2.18e-13,0,0.0,0.0,,,,,,,,,Neutral
death,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,1.77e-12,1,0.0,0.0,,,,,,,,,Neutral
decision,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,2.16e-13,0,0.0,0.0,,,,,,,,,Neutral
deeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,1.11e-12,0,0.0,0.0,,,,,,,,,Neutral
delivered to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,3.53e-13,0,0.0,0.0,,,,,,,,,Neutral
democracies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,3.14e-12,1,0.0,0.0,,,,,,,,,Neutral
democracy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,6.61e-12,1,0.0,0.0,,,,,,,,,Neutral
democracy protesters in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,2.8e-13,1,1.0,0.0,,,,,,,,,Neutral
democratic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,3.61e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
demonstrators,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,2.14e-13,0,0.0,0.0,,,,,,,,,Neutral
denied,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,2.86e-13,0,0.0,0.0,,,,,,,,,Neutral
designed to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,3.12e-13,0,0.0,0.0,,,,,,,,,Neutral
detailing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,2.2e-13,0,0.0,0.0,,,,,,,,,Neutral
detained,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,2.2e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
detainees,1481.0,252.0,4.0,19.0,28.0,1.0,2.0,31.0,34.0,1.0,11.0,13.0,21.0,107.0,117.0,40.0,32.0,23.0,13.0,10.0,13.0,6.0,4.0,0.0,50.0,8.0,159.0,13.0,3.0,12.0,0.0,15.0,19.0,6.0,58.0,1.0,28.0,7.0,13.0,0.0,2.0,3.0,21.0,2.0,15.0,16.0,6.0,10.0,1.0,4.0,35.0,6.0,1.0,5.0,17.0,136.0,0.0,20,5.73e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-528.0,Left
detention,4055.0,588.0,7.0,20.0,77.0,7.0,12.0,120.0,135.0,59.0,47.0,43.0,37.0,299.0,241.0,53.0,181.0,63.0,31.0,26.0,98.0,23.0,16.0,0.0,130.0,16.0,558.0,12.0,14.0,58.0,5.0,5.0,76.0,35.0,86.0,2.0,105.0,49.0,30.0,8.0,11.0,11.0,50.0,8.0,10.0,32.0,21.0,21.0,6.0,26.0,33.0,22.0,10.0,37.0,31.0,279.0,14.0,5,6.94e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1275.0,Left
detention and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,6.34e-13,0,0.0,0.0,,,,,,,,,Neutral
detention of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,1.86e-13,0,0.0,0.0,,,,,,,,,Neutral
determination,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1.94e-13,1,0.0,0.0,,,,,,,,,Neutral
developed with,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,3.75e-13,0,0.0,0.0,,,,,,,,,Neutral
development,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,4.04e-13,0,0.0,0.0,,,,,,,,,Neutral
developments,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,7.89e-13,0,0.0,0.0,,,,,,,,,Neutral
device,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
dictatorship,874.0,61.0,14.0,4.0,7.0,7.0,0.0,5.0,16.0,0.0,0.0,15.0,2.0,22.0,33.0,11.0,29.0,55.0,9.0,0.0,3.0,27.0,9.0,7.0,43.0,21.0,115.0,6.0,2.0,6.0,25.0,5.0,20.0,36.0,22.0,3.0,19.0,6.0,8.0,16.0,0.0,2.0,21.0,2.0,0.0,9.0,3.0,7.0,15.0,5.0,6.0,10.0,1.0,4.0,13.0,84.0,1.0,26,4.54e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-266.0,Left
dictatorships,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,2.68e-13,1,0.0,0.0,,,,,,,,,Neutral
did not,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,4.82e-13,0,0.0,0.0,,,,,,,,,Neutral
director,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,5.4e-13,0,0.0,0.0,,,,,,,,,Neutral
dissidents,1091.0,111.0,7.0,9.0,13.0,2.0,1.0,6.0,114.0,1.0,14.0,3.0,3.0,60.0,38.0,6.0,29.0,16.0,20.0,2.0,15.0,28.0,18.0,4.0,32.0,5.0,118.0,8.0,15.0,13.0,2.0,14.0,4.0,19.0,24.0,0.0,34.0,10.0,25.0,3.0,0.0,2.0,21.0,1.0,3.0,8.0,2.0,8.0,1.0,4.0,21.0,12.0,0.0,6.0,7.0,145.0,0.0,48,1.87e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-251.0,Left
do not,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,5.95e-13,0,0.0,0.0,,,,,,,,,Neutral
documents,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,2.6e-13,0,0.0,0.0,,,,,,,,,Neutral
domestic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,3.05e-13,0,0.0,0.0,,,,,,,,,Neutral
dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1.3e-12,0,0.0,0.0,,,,,,,,,Neutral
drug,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,3.78e-13,0,0.0,0.0,,,,,,,,,Neutral
due,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,1.95e-13,0,0.0,0.0,,,,,,,,,Neutral
during a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681,1.14e-12,0,0.0,0.0,,,,,,,,,Neutral
earlier,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,1.95e-13,0,0.0,0.0,,,,,,,,,Neutral
economic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,4.66e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
elected,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,2.39e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
election,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,1.62e-12,0,0.0,0.0,,,,,,,,,Neutral
elections,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,1.6e-12,0,0.0,0.0,,,,,,,,,Neutral
eligible,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,1.15e-12,0,0.0,0.0,,,,,,,,,Neutral
email from,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,7.55e-13,0,0.0,0.0,,,,,,,,,Neutral
email to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,8.16e-13,0,0.0,0.0,,,,,,,,,Neutral
embassy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1.01e-12,0,0.0,0.0,,,,,,,,,Neutral
emergency,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,3.17e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
end,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,3.02e-13,0,0.0,0.0,,,,,,,,,Neutral
enter,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,6.47e-13,0,0.0,0.0,,,,,,,,,Neutral
enter a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,9.65e-13,0,0.0,0.0,,,,,,,,,Neutral
entered,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,5.18e-13,0,0.0,0.0,,,,,,,,,Neutral
entities,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,8.01e-12,0,0.0,0.0,,,,,,,,,Neutral
especially,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,2.13e-13,0,0.0,0.0,,,,,,,,,Neutral
essential to the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,3.17e-13,0,0.0,0.0,,,,,,,,,Neutral
ethnic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,2.04e-12,1,0.0,0.0,,,,,,,,,Neutral
ethnic minorities,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,4.09e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
even,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,2.01e-12,0,0.0,0.0,,,,,,,,,Neutral
ever to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,3.27e-13,0,0.0,0.0,,,,,,,,,Neutral
every,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,2.41e-13,0,0.0,0.0,,,,,,,,,Neutral
example,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,3.44e-13,0,0.0,0.0,,,,,,,,,Neutral
experts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,2.14e-13,0,0.0,0.0,,,,,,,,,Neutral
expressing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,1.89e-13,0,0.0,0.0,,,,,,,,,Neutral
extradition,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,2.1e-12,1,0.0,0.0,,,,,,,,,Neutral
extradition bill,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,3.91e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
extremist,302.0,14.0,1.0,4.0,8.0,1.0,0.0,3.0,2.0,0.0,4.0,9.0,2.0,17.0,12.0,4.0,18.0,6.0,0.0,2.0,1.0,6.0,1.0,3.0,8.0,7.0,11.0,0.0,2.0,2.0,0.0,14.0,8.0,3.0,9.0,6.0,19.0,4.0,3.0,1.0,1.0,0.0,2.0,25.0,0.0,6.0,2.0,6.0,0.0,1.0,4.0,4.0,7.0,0.0,6.0,23.0,0.0,18,6.54e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-36.0,Left
facial recognition,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,6.76e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
facility,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,3.62e-13,0,0.0,0.0,,,,,,,,,Neutral
fact,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,5.58e-13,0,0.0,0.0,,,,,,,,,Neutral
faith,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,3.29e-13,0,0.0,0.0,,,,,,,,,Neutral
family,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,1.67e-12,0,0.0,0.0,,,,,,,,,Neutral
far,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,2.91e-13,0,0.0,0.0,,,,,,,,,Neutral
father,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,1.92e-13,0,0.0,0.0,,,,,,,,,Neutral
federal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2.88e-13,0,0.0,0.0,,,,,,,,,Neutral
fighters,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,5.45e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
first,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,3.93e-13,0,0.0,0.0,,,,,,,,,Neutral
following,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,1.79e-13,0,0.0,0.0,,,,,,,,,Neutral
for Democracy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,4.32e-13,0,0.0,0.0,,,,,,,,,Neutral
for Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,2.64e-13,0,0.0,0.0,,,,,,,,,Neutral
for comment,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,5.91e-13,0,0.0,0.0,,,,,,,,,Neutral
for further,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,1.85e-13,0,0.0,0.0,,,,,,,,,Neutral
for more,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,5.94e-13,0,0.0,0.0,,,,,,,,,Neutral
for the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,7.1e-13,0,0.0,0.0,,,,,,,,,Neutral
forced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1.87e-12,1,0.0,0.0,,,,,,,,,Neutral
forced labor,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,7.69e-13,1,1.0,0.0,,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
forces,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3.07e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
foreign,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,2e-12,0,0.0,0.0,,,,,,,,,Neutral
